country,b3,b2,b1,l1,l2,l3,mid,p,date,bet
Gabriel Martinelli,310.0,450.0,460.0,1000.0,,,730.0,0.0013698630136986301,2022-11-20,goalscorer
Luka Modric,100.0,480.0,500.0,970.0,,,735.0,0.0013605442176870747,2022-11-20,goalscorer
Joao Felix,300.0,380.0,500.0,1000.0,,,750.0,0.0013333333333333333,2022-11-20,goalscorer
Jonathan David,1.01,100.0,530.0,690.0,,,610.0,0.001639344262295082,2022-11-20,goalscorer
Michael Estrada,400.0,520.0,540.0,1000.0,,,770.0,0.0012987012987012987,2022-11-20,goalscorer
Dusan Tadic,150.0,540.0,560.0,900.0,910.0,1000.0,730.0,0.0013698630136986301,2022-11-20,goalscorer
Enner Valencia,100.0,200.0,340.0,,,,340.0,0.0029411764705882353,2022-11-20,goalscorer
Sofiane Boufal,300.0,360.0,470.0,,,,470.0,0.002127659574468085,2022-11-20,goalscorer
Ismaila Sarr,1.01,110.0,600.0,690.0,870.0,,645.0,0.0015503875968992248,2022-11-20,goalscorer
Hirving Lozano,,1.01,590.0,740.0,1000.0,,665.0,0.0015037593984962407,2022-11-20,goalscorer
Ivan Perisic,100.0,400.0,700.0,1000.0,,,850.0,0.001176470588235294,2022-11-20,goalscorer
Andre Silva,100.0,150.0,790.0,,,,790.0,0.0012658227848101266,2022-11-20,goalscorer
Timo Werner,340.0,620.0,810.0,,,,810.0,0.0012345679012345679,2022-11-20,goalscorer
Jack Grealish,80.0,330.0,820.0,,,,820.0,0.0012195121951219512,2022-11-20,goalscorer
Kieffer Moore,1.01,400.0,760.0,1000.0,,,880.0,0.0011363636363636363,2022-11-20,goalscorer
Mehdi Taremi,400.0,700.0,840.0,1000.0,,,920.0,0.0010869565217391304,2022-11-20,goalscorer
Youssef En-Nesyri,1.01,100.0,830.0,1000.0,,,915.0,0.001092896174863388,2022-11-20,goalscorer
Pedro Abreu dos Santos,44.0,420.0,850.0,1000.0,,,925.0,0.001081081081081081,2022-11-20,goalscorer
Bernardo Silva,300.0,700.0,900.0,,,,900.0,0.0011111111111111111,2022-11-20,goalscorer
Diogo Jota,46.0,250.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Lucas Ocampos,1.01,80.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Roberto Firmino,200.0,210.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Sadio Mane,160.0,220.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Georginio Wijnaldum,20.0,170.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Haris Seferovic,100.0,250.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Raul Jimenez,1.01,120.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Gerard Moreno,50.0,80.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Paul Pogba,20.0,100.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Vincent Aboubakar,180.0,270.0,700.0,,,,700.0,0.0014285714285714286,2022-11-20,goalscorer
Dries Mertens,2.0,120.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Yussuf Poulsen,80.0,510.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Ante Rebic,1.01,100.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Wahbi Khazri,1.01,100.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Martin Braithwaite,20.0,100.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Wout Weghorst,20.0,150.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Marco Reus,1.01,80.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Gio Reyna,1.01,100.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
Takumi Minamino,1.01,200.0,1000.0,,,,1000.0,0.001,2022-11-20,goalscorer
